Departamento,Municipio,Centro_Poblado,Latitud,Longitud,Tipo,Pregunta
CÓRDOBA,BUENAVISTA,VILLA FÁTIMA,"8,148380","-75,422390",7897,"¿Cómo se califica VILLA FÁTIMA; BUENAVISTA; CÓRDOBA; 8,148380; -75,422390 ; 7897; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
BOLÍVAR,CALAMAR,BARRANCA NUEVA,"10,223370","-74,928870",14817,"¿Cómo se califica BARRANCA NUEVA; CALAMAR; BOLÍVAR; 10,223370; -74,928870 ; 14817; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
TOLIMA,CAJAMARCA,CAJAMARCA,"4,424960","-75,387140",4458,"¿Cómo se califica CAJAMARCA; CAJAMARCA; TOLIMA; 4,424960; -75,387140 ; 4458; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
QUINDÍO,ARMENIA,CONDOMINIO EL EDEN,"4,471260","-75,763100",2437,"¿Cómo se califica CONDOMINIO EL EDEN; ARMENIA; QUINDÍO; 4,471260; -75,763100 ; 2437; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
CÓRDOBA,BUENAVISTA,BUENAVISTA,"8,210810","-75,474050",9999,"¿Cómo se califica BUENAVISTA; BUENAVISTA; CÓRDOBA; 8,210810; -75,474050 ; 9999; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,CÁCERES,CÁCERES,"7,624000","-75,319340",7055,"¿Cómo se califica CÁCERES; CÁCERES; ANTIOQUIA; 7,624000; -75,319340 ; 7055; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
CÓRDOBA,BUENAVISTA,NUEVA ESTACIÓN,"8,266960","-75,503310",10070,"¿Cómo se califica NUEVA ESTACIÓN; BUENAVISTA; CÓRDOBA; 8,266960; -75,503310 ; 10070; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
BOLÍVAR,CALAMAR,CALAMAR,"10,265480","-74,911830",12819,"¿Cómo se califica CALAMAR; CALAMAR; BOLÍVAR; 10,265480; -74,911830 ; 12819; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,CÁCERES,RÍO MAN,"7,962270","-75,204000",7604,"¿Cómo se califica RÍO MAN; CÁCERES; ANTIOQUIA; 7,962270; -75,204000 ; 7604; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
QUINDÍO,CALARCÁ,LA BELLA,"4,505100","-75,657110",2884,"¿Cómo se califica LA BELLA; CALARCÁ; QUINDÍO; 4,505100; -75,657110 ; 2884; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
QUINDÍO,CALARCÁ,CALARCÁ,"4,528470","-75,635420",3043,"¿Cómo se califica CALARCÁ; CALARCÁ; QUINDÍO; 4,528470; -75,635420 ; 3043; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,BELLO,BELLO,"6,334140","-75,536070",838,"¿Cómo se califica BELLO; BELLO; ANTIOQUIA; 6,334140; -75,536070 ; 838; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
CÓRDOBA,BUENAVISTA,BUENAVISTA,"8,228440","-75,487210",8114,"¿Cómo se califica BUENAVISTA; BUENAVISTA; CÓRDOBA; 8,228440; -75,487210 ; 8114; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,BARBOSA,LA PRIMAVERA,"6,415970","-75,398650",1204,"¿Cómo se califica LA PRIMAVERA; BARBOSA; ANTIOQUIA; 6,415970; -75,398650 ; 1204; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
CÓRDOBA,BUENAVISTA,NUEVA ESTACIÓN,"8,266960","-75,503310",8156,"¿Cómo se califica NUEVA ESTACIÓN; BUENAVISTA; CÓRDOBA; 8,266960; -75,503310 ; 8156; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
BOLÍVAR,CALAMAR,EL PROGRESO,"10,187130","-74,983840",12659,"¿Cómo se califica EL PROGRESO; CALAMAR; BOLÍVAR; 10,187130; -74,983840 ; 12659; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,CAUCASIA,PUERTO TRIANA,"7,747620","-74,900950",9270,"¿Cómo se califica PUERTO TRIANA; CAUCASIA; ANTIOQUIA; 7,747620; -74,900950 ; 9270; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
QUINDÍO,CALARCÁ,LA VIRGINIA,"4,474150","-75,548460",3975,"¿Cómo se califica LA VIRGINIA; CALARCÁ; QUINDÍO; 4,474150; -75,548460 ; 3975; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,CÁCERES,EL JARDÍN (TAMANÁ),"7,770170","-75,230990",7433,"¿Cómo se califica EL JARDÍN (TAMANÁ); CÁCERES; ANTIOQUIA; 7,770170; -75,230990 ; 7433; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,BELLO,EL ALBERGUE,"6,314960","-75,553430",593,"¿Cómo se califica EL ALBERGUE; BELLO; ANTIOQUIA; 6,314960; -75,553430 ; 593; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
CÓRDOBA,BUENAVISTA,VERACRUZ,"8,192450","-75,460340",9988,"¿Cómo se califica VERACRUZ; BUENAVISTA; CÓRDOBA; 8,192450; -75,460340 ; 9988; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,BRICEÑO,BRICEÑO,"7,087020","-75,470590",4700,"¿Cómo se califica BRICEÑO; BRICEÑO; ANTIOQUIA; 7,087020; -75,470590 ; 4700; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
CÓRDOBA,BUENAVISTA,VILLA FÁTIMA,"8,148380","-75,422390",9941,"¿Cómo se califica VILLA FÁTIMA; BUENAVISTA; CÓRDOBA; 8,148380; -75,422390 ; 9941; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
CUNDINAMARCA,CAPARRAPÍ,SAN RAMÓN ALTO,"5,384010","-74,603830",4665,"¿Cómo se califica SAN RAMÓN ALTO; CAPARRAPÍ; CUNDINAMARCA; 5,384010; -74,603830 ; 4665; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
QUINDÍO,CALARCÁ,CONDOMINIO LA MICAELA,"4,496310","-75,683730",2818,"¿Cómo se califica CONDOMINIO LA MICAELA; CALARCÁ; QUINDÍO; 4,496310; -75,683730 ; 2818; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ATLÁNTICO,CAMPO DE LA CRUZ,CAMPO DE LA CRUZ,"10,403760","-74,857810",15110,"¿Cómo se califica CAMPO DE LA CRUZ; CAMPO DE LA CRUZ; ATLÁNTICO; 10,403760; -74,857810 ; 15110; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ATLÁNTICO,CAMPO DE LA CRUZ,BOHÓRQUEZ,"10,482950","-74,825150",13187,"¿Cómo se califica BOHÓRQUEZ; CAMPO DE LA CRUZ; ATLÁNTICO; 10,482950; -74,825150 ; 13187; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",CHORRILLOS,"4,736710","-74,133930",10533,"¿Cómo se califica CHORRILLOS; BOGOTÁ, D.C.; BOGOTÁ, D.C.; 4,736710; -74,133930 ; 10533; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,CÁCERES,LAS PAMPAS,"7,738920","-75,272040",7337,"¿Cómo se califica LAS PAMPAS; CÁCERES; ANTIOQUIA; 7,738920; -75,272040 ; 7337; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
VALLE DEL CAUCA,BUGALAGRANDE,URÍBE URÍBE,"4,285870","-76,091510",1654,"¿Cómo se califica URÍBE URÍBE; BUGALAGRANDE; VALLE DEL CAUCA; 4,285870; -76,091510 ; 1654; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,CÁCERES,CÁCERES,"7,624000","-75,319340",6925,"¿Cómo se califica CÁCERES; CÁCERES; ANTIOQUIA; 7,624000; -75,319340 ; 6925; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,CAUCASIA,CACERÍ,"7,851830","-75,005110",9517,"¿Cómo se califica CACERÍ; CAUCASIA; ANTIOQUIA; 7,851830; -75,005110 ; 9517; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
CUNDINAMARCA,CHÍA,PUENTE CACIQUE,"4,858380","-74,062880",11271,"¿Cómo se califica PUENTE CACIQUE; CHÍA; CUNDINAMARCA; 4,858380; -74,062880 ; 11271; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,COCORNÁ,COCORNÁ,"6,027690","-75,171290",2351,"¿Cómo se califica COCORNÁ; COCORNÁ; ANTIOQUIA; 6,027690; -75,171290 ; 2351; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
CUNDINAMARCA,CAPARRAPÍ,CAMBRAS,"5,445410","-74,598510",4759,"¿Cómo se califica CAMBRAS; CAPARRAPÍ; CUNDINAMARCA; 5,445410; -74,598510 ; 4759; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
VALLE DEL CAUCA,ANDALUCÍA,TAMBORAL,"4,162390","-76,175680",1368,"¿Cómo se califica TAMBORAL; ANDALUCÍA; VALLE DEL CAUCA; 4,162390; -76,175680 ; 1368; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,CÁCERES,PIAMONTE,"7,791270","-75,209000",7516,"¿Cómo se califica PIAMONTE; CÁCERES; ANTIOQUIA; 7,791270; -75,209000 ; 7516; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,CÁCERES,GUARUMO,"7,900130","-75,203800",7529,"¿Cómo se califica GUARUMO; CÁCERES; ANTIOQUIA; 7,900130; -75,203800 ; 7529; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
BOLÍVAR,CALAMAR,EL PROGRESO,"10,187130","-74,983840",14745,"¿Cómo se califica EL PROGRESO; CALAMAR; BOLÍVAR; 10,187130; -74,983840 ; 14745; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
CUNDINAMARCA,CAPARRAPÍ,CAMBRAS,"5,384070","-74,603930",5078,"¿Cómo se califica CAMBRAS; CAPARRAPÍ; CUNDINAMARCA; 5,384070; -74,603930 ; 5078; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
SANTANDER,CIMITARRA,SAN PEDRO DE LA PAZ,"6,383070","-74,377480",5751,"¿Cómo se califica SAN PEDRO DE LA PAZ; CIMITARRA; SANTANDER; 6,383070; -74,377480 ; 5751; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
CÓRDOBA,BUENAVISTA,BUENAVISTA,"8,228440","-75,487210",7984,"¿Cómo se califica BUENAVISTA; BUENAVISTA; CÓRDOBA; 8,228440; -75,487210 ; 7984; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,CAUCASIA,EL PANDO,"7,894830","-75,077740",9619,"¿Cómo se califica EL PANDO; CAUCASIA; ANTIOQUIA; 7,894830; -75,077740 ; 9619; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
CÓRDOBA,BUENAVISTA,VERACRUZ,"8,192450","-75,460340",7944,"¿Cómo se califica VERACRUZ; BUENAVISTA; CÓRDOBA; 8,192450; -75,460340 ; 7944; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
QUINDÍO,CALARCÁ,LA PRADERA,"4,501460","-75,576060",3974,"¿Cómo se califica LA PRADERA; CALARCÁ; QUINDÍO; 4,501460; -75,576060 ; 3974; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
VALLE DEL CAUCA,BUGALAGRANDE,EL OVERO (SECTOR LA MARÍA),"4,248860","-76,120050",1598,"¿Cómo se califica EL OVERO (SECTOR LA MARÍA); BUGALAGRANDE; VALLE DEL CAUCA; 4,248860; -76,120050 ; 1598; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,CÁCERES,GUARUMO,"7,900130","-75,203800",7659,"¿Cómo se califica GUARUMO; CÁCERES; ANTIOQUIA; 7,900130; -75,203800 ; 7659; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,CAUCASIA,CAUCASIA,"7,988750","-75,222500",7705,"¿Cómo se califica CAUCASIA; CAUCASIA; ANTIOQUIA; 7,988750; -75,222500 ; 7705; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
SANTANDER,CIMITARRA,ZAMBITO,"6,290850","-74,459770",5661,"¿Cómo se califica ZAMBITO; CIMITARRA; SANTANDER; 6,290850; -74,459770 ; 5661; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
CUNDINAMARCA,CAPARRAPÍ,CAMBULO,"5,263340","-74,565840",4450,"¿Cómo se califica CAMBULO; CAPARRAPÍ; CUNDINAMARCA; 5,263340; -74,565840 ; 4450; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
CÓRDOBA,CHINÚ,CHINÚ,"9,132850","-75,388360",12134,"¿Cómo se califica CHINÚ; CHINÚ; CÓRDOBA; 9,132850; -75,388360 ; 12134; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,CÁCERES,EL JARDÍN (TAMANÁ),"7,770170","-75,230990",7303,"¿Cómo se califica EL JARDÍN (TAMANÁ); CÁCERES; ANTIOQUIA; 7,770170; -75,230990 ; 7303; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
BOLÍVAR,CALAMAR,BARRANCA NUEVA,"10,223370","-74,928870",12731,"¿Cómo se califica BARRANCA NUEVA; CALAMAR; BOLÍVAR; 10,223370; -74,928870 ; 12731; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
TOLIMA,CAJAMARCA,ANAIME,"4,437160","-75,500100",4039,"¿Cómo se califica ANAIME; CAJAMARCA; TOLIMA; 4,437160; -75,500100 ; 4039; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
MAGDALENA,CERRO DE SAN ANTONIO,PUERTO NIÑO (CHARANGA),"10,296260","-74,899200",14948,"¿Cómo se califica PUERTO NIÑO (CHARANGA); CERRO DE SAN ANTONIO; MAGDALENA; 10,296260; -74,899200 ; 14948; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
CÓRDOBA,CERETÉ,CERETÉ,"8,901910","-75,802770",9071,"¿Cómo se califica CERETÉ; CERETÉ; CÓRDOBA; 8,901910; -75,802770 ; 9071; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
ANTIOQUIA,COPACABANA,COPACABANA,"6,347920","-75,508360",999,"¿Cómo se califica COPACABANA; COPACABANA; ANTIOQUIA; 6,347920; -75,508360 ; 999; en todos los riesgos, el riesgo de contaminacioon se refiere a la contanminacion a la carga con sustancias prohibidad u otros elementos ilicitos?"
